old_url,new_url,status,reason
https://cowlendar.com/2,https://cowlendar.com/,301,Removed design variant
https://cowlendar.com/feature,https://cowlendar.com/features,301,Equivalent canonical destination
https://cowlendar.com/free-timezone-converter,https://cowlendar.com/free-tools/timezone-converter,301,Equivalent canonical destination
https://cowlendar.com/cowlendar-vs-apntly,https://cowlendar.com/cowlendar-vs-appntly,301,Equivalent canonical destination
https://cowlendar.com/cowlendar-vs-bookthatapp,https://cowlendar.com/cowlendar-vs-book-that-app,301,Equivalent canonical destination
https://cowlendar.com/blog/best-rental-businesses-in-2026,https://cowlendar.com/blog/best-shopify-apps-for-rental-businesses-in-2026,301,Equivalent canonical destination
https://cowlendar.com/blog/best-shopify-rental-businesses-in-2026,https://cowlendar.com/blog/best-shopify-apps-for-rental-businesses-in-2026,301,Equivalent canonical destination
https://cowlendar.com/blog/how-to-add-vacation-rental-booking-your-shopify-store-in-2026,https://cowlendar.com/blog/how-to-add-vacation-rental-booking-to-your-shopify-store-in-2026,301,Equivalent canonical destination
https://cowlendar.com/blog/best-shopify-apps-zoom-meetings,https://cowlendar.com/blog/best-shopify-apps-for-zoom-meetings-in-2026,301,Equivalent canonical destination
https://cowlendar.com/blog/bookthatapp-vs-cowlendar-which-shopify-booking-app-is-right-for-you-in-2025,https://cowlendar.com/cowlendar-vs-book-that-app,301,Equivalent canonical destination
https://cowlendar.com/blog/are-your-shopify-bookings-mobile-friendly-enough,https://cowlendar.com/blog/how-to-optimize-shopify-bookings-for-mobile-customers,301,Equivalent canonical destination
